reg_count,reg_avg,reg_sd,reg_lb,reg_ub,reg_excess,reg_excess_per,reg_excess_cumu,reg_avg_cumu,reg_count_cumu,reg_excess_cumu_per,period,rem_count,rem_avg,rem_sd,rem_lb,rem_ub,rem_excess,rem_excess_per,rem_excess_cumu,rem_avg_cumu,rem_count_cumu,rem_excess_cumu_per,country
334,375,79,296,454,-41,-10,-41,375,334,-10,2020m1,142,166,46,121,211,-24,-14,-24,166,142,-14,Canada
75,100,16,84,116,-25,-25,-66,475,409,-13,2020m2,71,137,29,109,165,-66,-48,-90,303,213,-29,Canada
66,116,12,104,128,-50,-43,-116,591,475,-19,2020m3,227,218,95,124,312,9,5,-81,521,440,-15,Canada
62,163,21,142,184,-101,-61,-217,754,537,-28,2020m4,,,,,,,,,,,,Canada
55,130,22,109,152,-75,-57,-292,884,592,-33,2020m5,,,,,,,,,,,,Canada
76,106,13,94,119,-30,-28,-322,990,668,-32,2020m6,,,,,,,,,,,,Canada
79,127,18,110,145,-48,-37,-370,1117,747,-33,2020m7,,,,,,,,,,,,Canada
54,97,8,89,104,-43,-44,-413,1214,801,-34,2020m8,,,,,,,,,,,,Canada
67,98,9,89,107,-31,-31,-444,1312,868,-33,2020m9,,,,,,,,,,,,Canada
61,99,17,82,115,-38,-38,-482,1411,929,-34,2020m10,268,174,59,116,232,94,55,13,695,708,2,Canada
51,120,48,72,168,-69,-57,-551,1531,980,-35,2020m11,184,142,47,96,188,42,30,55,837,892,7,Canada
40,68,13,55,81,-28,-41,-579,1599,1020,-36,2020m12,110,111,31,81,141,-1,0,54,948,1002,6,Canada
52,375,79,296,454,-323,-86,-902,1974,1072,-45,2021m1,237,166,46,121,211,71,43,125,1114,1239,12,Canada
