reg_count,rem_count,reg_avg,reg_sd,reg_lb,reg_ub,reg_lb_2,reg_ub_2,rem_avg,rem_sd,rem_lb,rem_ub,rem_lb_2,rem_ub_2,reg_excess,reg_excess_per,reg_excess_cumu,reg_avg_cumu,reg_count_cumu,reg_excess_cumu_per,rem_excess,rem_excess_per,rem_excess_cumu,rem_avg_cumu,rem_count_cumu,rem_excess_cumu_per,period,country
504,506,461,50,412,511,363,560,622,238,384,860,146,1098,43,10,43,461,504,10,-116,-18,-116,622,506,-18,2020m1,England and Wales
570,563,444,6,438,449,433,455,553,128,425,680,297,808,126,29,169,905,1074,19,10,2,-106,1175,1069,-9,2020m2,England and Wales
577,476,474,52,422,526,371,578,397,108,289,505,181,612,103,22,272,1379,1651,20,79,20,-27,1572,1545,-1,2020m3,England and Wales
455,222,462,60,402,521,343,581,339,55,285,394,230,448,-7,-1,265,1841,2106,15,-117,-34,-144,1911,1767,-7,2020m4,England and Wales
423,346,457,53,404,509,352,561,267,48,219,315,172,362,-34,-7,231,2298,2529,11,79,30,-65,2178,2113,-2,2020m5,England and Wales
453,254,506,74,432,579,358,653,497,58,439,555,381,613,-53,-10,178,2804,2982,7,-243,-48,-308,2675,2367,-11,2020m6,England and Wales
481,228,484,61,423,544,363,604,409,155,255,563,101,718,-3,0,175,3288,3463,6,-181,-44,-489,3084,2595,-15,2020m7,England and Wales
398,168,414,33,381,446,349,479,314,108,207,422,100,529,-16,-3,159,3702,3861,5,-146,-46,-635,3398,2763,-18,2020m8,England and Wales
478,241,443,28,416,470,389,498,487,92,396,578,305,669,35,8,194,4145,4339,5,-246,-50,-881,3885,3004,-22,2020m9,England and Wales
526,342,503,79,425,582,346,660,417,129,289,546,160,674,23,5,217,4648,4865,5,-75,-17,-956,4302,3346,-22,2020m10,England and Wales
40,12,523,63,460,585,398,648,395,87,308,482,222,569,-483,-92,-266,5171,4905,-5,-383,-96,-1339,4697,3358,-28,2020m11,England and Wales
