regd,regy,regq,regm,month_reg,reg,reg_count,reg_avg,reg_sd,reg_lb,reg_ub,reg_excess,reg_excess_per,reg_excess_cumu,reg_avg_cumu,reg_count_cumu,reg_excess_cumu_per,period,remd,remy,remq,remm,month_rem,rem,rem_count,rem_avg,rem_sd,rem_lb,rem_ub,rem_excess,rem_excess_per,rem_excess_cumu,rem_avg_cumu,rem_count_cumu,rem_excess_cumu_per,country
01jan2020,2020,2020q1,2020m1,1,1,7458,4244,732,3513,4975,3214,76,3214,4244,7458,76,2020m1,15jan2020,2020,2020q1,2020m1,1,1,1375,1021,197,824,1218,354,35,354,1021,1375,35,USA
01feb2020,2020,2020q1,2020m2,2,1,6523,5861,816,5045,6677,662,12,3876,10105,13981,39,2020m2,15feb2020,2020,2020q1,2020m2,2,1,928,676,73,603,749,252,38,606,1697,2303,36,USA
01mar2020,2020,2020q1,2020m3,3,1,6369,7339,1686,5654,9025,-970,-13,2906,17444,20350,17,2020m3,15mar2020,2020,2020q1,2020m3,3,1,340,210,41,170,250,130,62,736,1907,2643,39,USA
01apr2020,2020,2020q2,2020m4,4,1,8288,6752,1936,4816,8687,1536,23,4442,24196,28638,19,2020m4,15apr2020,2020,2020q2,2020m4,4,1,159,124,25,99,149,35,29,771,2031,2802,38,USA
01may2020,2020,2020q2,2020m5,5,1,7167,6768,1792,4976,8560,399,6,4841,30964,35805,16,2020m5,15may2020,2020,2020q2,2020m5,5,1,26236,16692,2852,13840,19544,9544,58,10315,18723,29038,56,USA
01jun2020,2020,2020q2,2020m6,6,1,7723,6069,1197,4872,7265,1654,28,6495,37033,43528,18,2020m6,15jun2020,2020,2020q2,2020m6,6,1,374,212,47,165,259,162,77,10477,18935,29412,56,USA
01jul2020,2020,2020q3,2020m7,7,1,5759,6264,1922,4342,8185,-505,-8,5990,43297,49287,14,2020m7,15jul2020,2020,2020q3,2020m7,7,1,182,139,35,105,174,43,31,10520,19074,29594,56,USA
01aug2020,2020,2020q3,2020m8,8,1,3037,6448,1215,5234,7662,-3411,-52,2579,49745,52324,6,2020m8,15aug2020,2020,2020q3,2020m8,8,1,307,444,160,284,603,-137,-30,10383,19518,29901,54,USA
01sep2020,2020,2020q3,2020m9,9,1,5287,6088,964,5125,7052,-801,-13,1778,55833,57611,4,2020m9,15sep2020,2020,2020q3,2020m9,9,1,410,232,65,168,297,178,77,10561,19750,30311,54,USA
01oct2020,2020,2020q4,2020m10,10,1,3798,5241,1088,4153,6329,-1443,-27,335,61074,61409,1,2020m10,15oct2020,2020,2020q4,2020m10,10,1,1,465,100,365,564,-464,-99,10097,20215,30312,50,USA
01nov2020,2020,2020q4,2020m11,11,1,1045,5085,559,4526,5644,-4040,-79,-3705,66159,62454,-5,2020m11,15nov2020,2020,2020q4,2020m11,11,1,1,2781,381,2401,3161,-2780,-99,7317,22996,30313,32,USA
